name,url
Глава 1. Введение в Python,https://metanit.com/1.1.php
Язык программирования Python,https://metanit.com/1.1.php
Установка Python и первая программа на Windows,https://metanit.com/1.2.php
Установка Python и первая программа на MacOS,https://metanit.com/1.5.php
Установка Python и первая программа на Linux,https://metanit.com/1.6.php
"Управление версиями Python на Windows, MacOS и Linux",https://metanit.com/1.7.php
Первая программа в PyCharm,https://metanit.com/1.3.php
Python в Visual Studio,https://metanit.com/1.4.php
Глава 2. Основы Python,https://metanit.com/2.1.php
Введение в написание программ,https://metanit.com/2.1.php
Переменные и типы данных,https://metanit.com/2.2.php
Консольный ввод и вывод,https://metanit.com/2.14.php
Арифметические операции с числами,https://metanit.com/2.3.php
Поразрядные операции с числами,https://metanit.com/2.12.php
Условные выражения,https://metanit.com/2.4.php
Условная конструкция if,https://metanit.com/2.6.php
Циклы,https://metanit.com/2.7.php
Функции,https://metanit.com/2.8.php
Параметры функции,https://metanit.com/2.15.php
Оператор return и возвращение результата из функции,https://metanit.com/2.16.php
"Функция как тип, параметр и результат другой функции",https://metanit.com/2.17.php
Лямбда-выражения,https://metanit.com/2.18.php
Преобразование типов,https://metanit.com/2.5.php
Область видимости переменных,https://metanit.com/2.9.php
Замыкания,https://metanit.com/2.19.php
Декораторы,https://metanit.com/2.28.php
Глава 3. Объектно-ориентированное программирование,https://metanit.com/7.1.php
Классы и объекты,https://metanit.com/7.1.php
"Инкапсуляция, атрибуты и свойства",https://metanit.com/7.2.php
Наследование,https://metanit.com/7.3.php
Переопределение функционала базового класса,https://metanit.com/7.4.php
Атрибуты классов и статические методы,https://metanit.com/7.6.php
Класс object. Строковое представление объекта,https://metanit.com/7.5.php
Глава 4. Обработка ошибок и исключений,https://metanit.com/2.11.php
Конструкция try...except...finally,https://metanit.com/2.11.php
except и обработка разных типов исключений,https://metanit.com/2.20.php
Генерация исключений и создание своих типов исключений,https://metanit.com/2.21.php
"Глава 5. Списки, кортежи и словари",https://metanit.com/3.1.php
Списки,https://metanit.com/3.1.php
Кортежи,https://metanit.com/3.2.php
Диапазоны,https://metanit.com/3.5.php
Словари,https://metanit.com/3.3.php
Множества,https://metanit.com/3.4.php
List comprehension,https://metanit.com/3.6.php
Упаковка и распаковка,https://metanit.com/3.7.php
Упаковка и распаковка в параметрах функций,https://metanit.com/3.8.php
Глава 6. Модули,https://metanit.com/2.10.php
Определение и подключение модулей,https://metanit.com/2.10.php
Модуль random,https://metanit.com/6.1.php
Модуль math,https://metanit.com/6.2.php
Модуль locale,https://metanit.com/6.3.php
Модуль decimal,https://metanit.com/6.4.php
Модуль dataclasses. Data-классы,https://metanit.com/6.5.php
Глава 7. Строки,https://metanit.com/5.1.php
Работа со строками,https://metanit.com/5.1.php
Основные методы строк,https://metanit.com/5.2.php
Форматирование,https://metanit.com/5.3.php
Глава 8.Pattern matching,https://metanit.com/2.13.php
Конструкция match,https://metanit.com/2.13.php
Кортежи в pattern matching,https://metanit.com/2.22.php
Массивы в pattern matching,https://metanit.com/2.23.php
Словари в pattern matching,https://metanit.com/2.24.php
Классы в pattern matching,https://metanit.com/2.25.php
guards или ограничения шаблонов,https://metanit.com/2.26.php
Установка псевдонимов и паттерн AS,https://metanit.com/2.27.php
Глава 9. Работа с файлами,https://metanit.com/4.1.php
Открытие и закрытие файлов,https://metanit.com/4.1.php
Текстовые файлы,https://metanit.com/4.2.php
Файлы CSV,https://metanit.com/4.3.php
Бинарные файлы,https://metanit.com/4.4.php
Модуль shelve,https://metanit.com/4.6.php
Модуль OS и работа с файловой системой,https://metanit.com/4.5.php
Программа подсчета слов,https://metanit.com/5.4.php
Запись и чтение архивных zip-файлов,https://metanit.com/4.7.php
Глава 10. Работа с датами и временем,https://metanit.com/8.1.php
Модуль datetime,https://metanit.com/8.1.php
Операции с датами,https://metanit.com/8.2.php
