name,url
Глава 1. Введение в Python,1.1.php
Язык программирования Python,1.1.php
Установка Python и первая программа на Windows,1.2.php
Установка Python и первая программа на MacOS,1.5.php
Установка Python и первая программа на Linux,1.6.php
"Управление версиями Python на Windows, MacOS и Linux",1.7.php
Первая программа в PyCharm,1.3.php
Python в Visual Studio,1.4.php
Глава 2. Основы Python,2.1.php
Введение в написание программ,2.1.php
Переменные и типы данных,2.2.php
Консольный ввод и вывод,2.14.php
Арифметические операции с числами,2.3.php
Поразрядные операции с числами,2.12.php
Условные выражения,2.4.php
Условная конструкция if,2.6.php
Циклы,2.7.php
Функции,2.8.php
Параметры функции,2.15.php
Оператор return и возвращение результата из функции,2.16.php
"Функция как тип, параметр и результат другой функции",2.17.php
Лямбда-выражения,2.18.php
Преобразование типов,2.5.php
Область видимости переменных,2.9.php
Замыкания,2.19.php
Декораторы,2.28.php
Глава 3. Объектно-ориентированное программирование,7.1.php
Классы и объекты,7.1.php
"Инкапсуляция, атрибуты и свойства",7.2.php
Наследование,7.3.php
Переопределение функционала базового класса,7.4.php
Атрибуты классов и статические методы,7.6.php
Класс object. Строковое представление объекта,7.5.php
Глава 4. Обработка ошибок и исключений,2.11.php
Конструкция try...except...finally,2.11.php
except и обработка разных типов исключений,2.20.php
Генерация исключений и создание своих типов исключений,2.21.php
"Глава 5. Списки, кортежи и словари",3.1.php
Списки,3.1.php
Кортежи,3.2.php
Диапазоны,3.5.php
Словари,3.3.php
Множества,3.4.php
List comprehension,3.6.php
Упаковка и распаковка,3.7.php
Упаковка и распаковка в параметрах функций,3.8.php
Глава 6. Модули,2.10.php
Определение и подключение модулей,2.10.php
Модуль random,6.1.php
Модуль math,6.2.php
Модуль locale,6.3.php
Модуль decimal,6.4.php
Модуль dataclasses. Data-классы,6.5.php
Глава 7. Строки,5.1.php
Работа со строками,5.1.php
Основные методы строк,5.2.php
Форматирование,5.3.php
Глава 8.Pattern matching,2.13.php
Конструкция match,2.13.php
Кортежи в pattern matching,2.22.php
Массивы в pattern matching,2.23.php
Словари в pattern matching,2.24.php
Классы в pattern matching,2.25.php
guards или ограничения шаблонов,2.26.php
Установка псевдонимов и паттерн AS,2.27.php
Глава 9. Работа с файлами,4.1.php
Открытие и закрытие файлов,4.1.php
Текстовые файлы,4.2.php
Файлы CSV,4.3.php
Бинарные файлы,4.4.php
Модуль shelve,4.6.php
Модуль OS и работа с файловой системой,4.5.php
Программа подсчета слов,5.4.php
Запись и чтение архивных zip-файлов,4.7.php
Глава 10. Работа с датами и временем,8.1.php
Модуль datetime,8.1.php
Операции с датами,8.2.php
Язык программирования Python,1.1.php
Установка Python и первая программа на Windows,1.2.php
Установка Python и первая программа на MacOS,1.5.php
Установка Python и первая программа на Linux,1.6.php
"Управление версиями Python на Windows, MacOS и Linux",1.7.php
Первая программа в PyCharm,1.3.php
Python в Visual Studio,1.4.php
Введение в написание программ,2.1.php
Переменные и типы данных,2.2.php
Консольный ввод и вывод,2.14.php
Арифметические операции с числами,2.3.php
Поразрядные операции с числами,2.12.php
Условные выражения,2.4.php
Условная конструкция if,2.6.php
Циклы,2.7.php
Функции,2.8.php
Параметры функции,2.15.php
Оператор return и возвращение результата из функции,2.16.php
"Функция как тип, параметр и результат другой функции",2.17.php
Лямбда-выражения,2.18.php
Преобразование типов,2.5.php
Область видимости переменных,2.9.php
Замыкания,2.19.php
Декораторы,2.28.php
Классы и объекты,7.1.php
"Инкапсуляция, атрибуты и свойства",7.2.php
Наследование,7.3.php
Переопределение функционала базового класса,7.4.php
Атрибуты классов и статические методы,7.6.php
Класс object. Строковое представление объекта,7.5.php
Конструкция try...except...finally,2.11.php
except и обработка разных типов исключений,2.20.php
Генерация исключений и создание своих типов исключений,2.21.php
Списки,3.1.php
Кортежи,3.2.php
Диапазоны,3.5.php
Словари,3.3.php
Множества,3.4.php
List comprehension,3.6.php
Упаковка и распаковка,3.7.php
Упаковка и распаковка в параметрах функций,3.8.php
Определение и подключение модулей,2.10.php
Модуль random,6.1.php
Модуль math,6.2.php
Модуль locale,6.3.php
Модуль decimal,6.4.php
Модуль dataclasses. Data-классы,6.5.php
Работа со строками,5.1.php
Основные методы строк,5.2.php
Форматирование,5.3.php
Конструкция match,2.13.php
Кортежи в pattern matching,2.22.php
Массивы в pattern matching,2.23.php
Словари в pattern matching,2.24.php
Классы в pattern matching,2.25.php
guards или ограничения шаблонов,2.26.php
Установка псевдонимов и паттерн AS,2.27.php
Открытие и закрытие файлов,4.1.php
Текстовые файлы,4.2.php
Файлы CSV,4.3.php
Бинарные файлы,4.4.php
Модуль shelve,4.6.php
Модуль OS и работа с файловой системой,4.5.php
Программа подсчета слов,5.4.php
Запись и чтение архивных zip-файлов,4.7.php
Модуль datetime,8.1.php
Операции с датами,8.2.php
