
config,img_url,model,price
Відгуки,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,12 426 грн.
Відео,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,12 426 грн.
Фото,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,12 426 грн.
Обговорення,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,12 426 грн.
Огляди,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,12 426 грн.
Ціни,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,12 426 грн.
Відгуки,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,13 999 грн.
Відео,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,13 999 грн.
Фото,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,13 999 грн.
Обговорення,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,13 999 грн.
Огляди,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,13 999 грн.
Ціни,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,13 999 грн.
Відгуки,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,9 238 грн.
Відео,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,9 238 грн.
Фото,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,9 238 грн.
Обговорення,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,9 238 грн.
Огляди,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,9 238 грн.
Ціни,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,9 238 грн.
3D,https://s.ek.ua/jpg/2185653.jpg,Apple iPad Air,29 499 грн.
Відео,https://s.ek.ua/jpg/2185653.jpg,Apple iPad Air,29 499 грн.
Фото,https://s.ek.ua/jpg/2185653.jpg,Apple iPad Air,29 499 грн.
Огляди,https://s.ek.ua/jpg/2185653.jpg,Apple iPad Air,29 499 грн.
Ціни,https://s.ek.ua/jpg/2185653.jpg,Apple iPad Air,29 499 грн.
Відгуки,https://s.ek.ua/jpg/2380465.jpg,Doogee T20,7 999 грн.
Відео,https://s.ek.ua/jpg/2380465.jpg,Doogee T20,7 999 грн.
Фото,https://s.ek.ua/jpg/2380465.jpg,Doogee T20,7 999 грн.
Обговорення,https://s.ek.ua/jpg/2380465.jpg,Doogee T20,7 999 грн.
Ціни,https://s.ek.ua/jpg/2380465.jpg,Doogee T20,7 999 грн.
Відео,https://s.ek.ua/jpg/2278390.jpg,Blackview Tab 7,6 399 грн.
Фото,https://s.ek.ua/jpg/2278390.jpg,Blackview Tab 7,6 399 грн.
Ціни,https://s.ek.ua/jpg/2278390.jpg,Blackview Tab 7,6 399 грн.
Відео,https://s.ek.ua/jpg/2405558.jpg,Blackview Tab 16,8 747 грн.
Фото,https://s.ek.ua/jpg/2405558.jpg,Blackview Tab 16,8 747 грн.
Обговорення,https://s.ek.ua/jpg/2405558.jpg,Blackview Tab 16,8 747 грн.
Ціни,https://s.ek.ua/jpg/2405558.jpg,Blackview Tab 16,8 747 грн.
3D,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,24 999 грн.
Відгуки,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,24 999 грн.
Відео,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,24 999 грн.
Фото,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,24 999 грн.
Обговорення,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,24 999 грн.
Огляди,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,24 999 грн.
Ціни,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,24 999 грн.
Відгуки,https://s.ek.ua/jpg/2278334.jpg,Blackview Tab 13,8 999 грн.
Відео,https://s.ek.ua/jpg/2278334.jpg,Blackview Tab 13,8 999 грн.
Фото,https://s.ek.ua/jpg/2278334.jpg,Blackview Tab 13,8 999 грн.
Огляди,https://s.ek.ua/jpg/2278334.jpg,Blackview Tab 13,8 999 грн.
Ціни,https://s.ek.ua/jpg/2278334.jpg,Blackview Tab 13,8 999 грн.
Відгуки,https://s.ek.ua/jpg/2325955.jpg,Lenovo Tab P11 2nd Gen,12 999 грн.
Відео,https://s.ek.ua/jpg/2325955.jpg,Lenovo Tab P11 2nd Gen,12 999 грн.
Фото,https://s.ek.ua/jpg/2325955.jpg,Lenovo Tab P11 2nd Gen,12 999 грн.
Обговорення,https://s.ek.ua/jpg/2325955.jpg,Lenovo Tab P11 2nd Gen,12 999 грн.
Ціни,https://s.ek.ua/jpg/2325955.jpg,Lenovo Tab P11 2nd Gen,12 999 грн.
3D,https://s.ek.ua/jpg/2177284.jpg,Samsung Galaxy Tab S8,31 999 грн.
Відео,https://s.ek.ua/jpg/2177284.jpg,Samsung Galaxy Tab S8,31 999 грн.
Фото,https://s.ek.ua/jpg/2177284.jpg,Samsung Galaxy Tab S8,31 999 грн.
Обговорення,https://s.ek.ua/jpg/2177284.jpg,Samsung Galaxy Tab S8,31 999 грн.
Ціни,https://s.ek.ua/jpg/2177284.jpg,Samsung Galaxy Tab S8,31 999 грн.
Відео,https://s.ek.ua/jpg/2293885.jpg,Apple iPad,21 999 грн.
Фото,https://s.ek.ua/jpg/2293885.jpg,Apple iPad,21 999 грн.
Обговорення,https://s.ek.ua/jpg/2293885.jpg,Apple iPad,21 999 грн.
Огляди,https://s.ek.ua/jpg/2293885.jpg,Apple iPad,21 999 грн.
Ціни,https://s.ek.ua/jpg/2293885.jpg,Apple iPad,21 999 грн.
Відео,https://s.ek.ua/jpg/2325012.jpg,Lenovo XiaoXin Pad,7 918 грн.
Фото,https://s.ek.ua/jpg/2325012.jpg,Lenovo XiaoXin Pad,7 918 грн.
Обговорення,https://s.ek.ua/jpg/2325012.jpg,Lenovo XiaoXin Pad,7 918 грн.
Ціни,https://s.ek.ua/jpg/2325012.jpg,Lenovo XiaoXin Pad,7 918 грн.
Відгуки,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,9 999 грн.
Відео,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,9 999 грн.
Фото,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,9 999 грн.
Обговорення,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,9 999 грн.
Огляди,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,9 999 грн.
Ціни,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,9 999 грн.
Відгуки,https://s.ek.ua/jpg/2293945.jpg,Apple iPad Pro 11,35 999 грн.
Відео,https://s.ek.ua/jpg/2293945.jpg,Apple iPad Pro 11,35 999 грн.
Фото,https://s.ek.ua/jpg/2293945.jpg,Apple iPad Pro 11,35 999 грн.
Огляди,https://s.ek.ua/jpg/2293945.jpg,Apple iPad Pro 11,35 999 грн.
Ціни,https://s.ek.ua/jpg/2293945.jpg,Apple iPad Pro 11,35 999 грн.
Відео,https://s.ek.ua/jpg/2296139.jpg,Doogee T10,6 008 грн.
Фото,https://s.ek.ua/jpg/2296139.jpg,Doogee T10,6 008 грн.
Обговорення,https://s.ek.ua/jpg/2296139.jpg,Doogee T10,6 008 грн.
Ціни,https://s.ek.ua/jpg/2296139.jpg,Doogee T10,6 008 грн.
Відгуки,https://s.ek.ua/jpg/2202392.jpg,Samsung Galaxy Tab S6 Lite,12 296 грн.
Відео,https://s.ek.ua/jpg/2202392.jpg,Samsung Galaxy Tab S6 Lite,12 296 грн.
Фото,https://s.ek.ua/jpg/2202392.jpg,Samsung Galaxy Tab S6 Lite,12 296 грн.
Обговорення,https://s.ek.ua/jpg/2202392.jpg,Samsung Galaxy Tab S6 Lite,12 296 грн.
Ціни,https://s.ek.ua/jpg/2202392.jpg,Samsung Galaxy Tab S6 Lite,12 296 грн.
3D,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,8 299 грн.
Відгуки,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,8 299 грн.
Відео,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,8 299 грн.
Фото,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,8 299 грн.
Обговорення,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,8 299 грн.
Ціни,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,8 299 грн.
Відео,https://s.ek.ua/jpg/2298761.jpg,Blackview Tab 15,8 113 грн.
Фото,https://s.ek.ua/jpg/2298761.jpg,Blackview Tab 15,8 113 грн.
Обговорення,https://s.ek.ua/jpg/2298761.jpg,Blackview Tab 15,8 113 грн.
Ціни,https://s.ek.ua/jpg/2298761.jpg,Blackview Tab 15,8 113 грн.
Відео,https://s.ek.ua/jpg/2342230.jpg,Oscal Pad 10,6 199 грн.
Фото,https://s.ek.ua/jpg/2342230.jpg,Oscal Pad 10,6 199 грн.
Ціни,https://s.ek.ua/jpg/2342230.jpg,Oscal Pad 10,6 199 грн.
3D,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,20 899 грн.
Відгуки,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,20 899 грн.
Відео,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,20 899 грн.
Фото,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,20 899 грн.
Обговорення,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,20 899 грн.
Огляди,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,20 899 грн.
Ціни,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,20 899 грн.
Відгуки,https://s.ek.ua/jpg/2005172.jpg,Apple iPad Pro 11,34 680 грн.
Відео,https://s.ek.ua/jpg/2005172.jpg,Apple iPad Pro 11,34 680 грн.
Фото,https://s.ek.ua/jpg/2005172.jpg,Apple iPad Pro 11,34 680 грн.
Обговорення,https://s.ek.ua/jpg/2005172.jpg,Apple iPad Pro 11,34 680 грн.
Ціни,https://s.ek.ua/jpg/2005172.jpg,Apple iPad Pro 11,34 680 грн.
Відео,https://s.ek.ua/jpg/2437753.jpg,Lenovo Legion Y700,17 167 грн.
Фото,https://s.ek.ua/jpg/2437753.jpg,Lenovo Legion Y700,17 167 грн.
Огляди,https://s.ek.ua/jpg/2437753.jpg,Lenovo Legion Y700,17 167 грн.
Ціни,https://s.ek.ua/jpg/2437753.jpg,Lenovo Legion Y700,17 167 грн.
Відео,https://s.ek.ua/jpg/2274799.jpg,Lenovo Tab M10 Plus 3rd Gen,11 499 грн.
Фото,https://s.ek.ua/jpg/2274799.jpg,Lenovo Tab M10 Plus 3rd Gen,11 499 грн.
Огляди,https://s.ek.ua/jpg/2274799.jpg,Lenovo Tab M10 Plus 3rd Gen,11 499 грн.
Ціни,https://s.ek.ua/jpg/2274799.jpg,Lenovo Tab M10 Plus 3rd Gen,11 499 грн.
