config,img_url,model,price_high,price_low
Відгуки,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,256ГБ,128ГБ
Відео,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,256ГБ,128ГБ
Фото,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,256ГБ,128ГБ
Обговорення,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,256ГБ,128ГБ
Огляди,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,256ГБ,128ГБ
Ціни,https://s.ek.ua/jpg/2071831.jpg,Xiaomi Pad 5,256ГБ,128ГБ
Відгуки,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,256ГБ LTE,256ГБ
Відео,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,256ГБ LTE,256ГБ
Фото,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,256ГБ LTE,256ГБ
Обговорення,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,256ГБ LTE,256ГБ
Огляди,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,256ГБ LTE,256ГБ
Ціни,https://s.ek.ua/jpg/2090044.jpg,Apple iPad,256ГБ LTE,256ГБ
Відгуки,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,128ГБ ОЗП 6 ГБ,128ГБ ОЗП 4 ГБ
Відео,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,128ГБ ОЗП 6 ГБ,128ГБ ОЗП 4 ГБ
Фото,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,128ГБ ОЗП 6 ГБ,128ГБ ОЗП 4 ГБ
Обговорення,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,128ГБ ОЗП 6 ГБ,128ГБ ОЗП 4 ГБ
Огляди,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,128ГБ ОЗП 6 ГБ,128ГБ ОЗП 4 ГБ
Ціни,https://s.ek.ua/jpg/2286716.jpg,Xiaomi Redmi Pad,128ГБ ОЗП 6 ГБ,128ГБ ОЗП 4 ГБ
3D,https://s.ek.ua/jpg/2185653.jpg,Apple iPad Air,256ГБ 5G,256ГБ
Відео,https://s.ek.ua/jpg/2185653.jpg,Apple iPad Air,256ГБ 5G,256ГБ
Фото,https://s.ek.ua/jpg/2185653.jpg,Apple iPad Air,256ГБ 5G,256ГБ
Огляди,https://s.ek.ua/jpg/2185653.jpg,Apple iPad Air,256ГБ 5G,256ГБ
Ціни,https://s.ek.ua/jpg/2185653.jpg,Apple iPad Air,256ГБ 5G,256ГБ
Відгуки,https://s.ek.ua/jpg/2380465.jpg,Doogee T20,Корпус:,Акумулятор:
Відео,https://s.ek.ua/jpg/2380465.jpg,Doogee T20,Корпус:,Акумулятор:
Фото,https://s.ek.ua/jpg/2380465.jpg,Doogee T20,Корпус:,Акумулятор:
Обговорення,https://s.ek.ua/jpg/2380465.jpg,Doogee T20,Корпус:,Акумулятор:
Ціни,https://s.ek.ua/jpg/2380465.jpg,Doogee T20,Корпус:,Акумулятор:
Відео,https://s.ek.ua/jpg/2278390.jpg,Blackview Tab 7,Корпус:,Акумулятор:
Фото,https://s.ek.ua/jpg/2278390.jpg,Blackview Tab 7,Корпус:,Акумулятор:
Ціни,https://s.ek.ua/jpg/2278390.jpg,Blackview Tab 7,Корпус:,Акумулятор:
Відео,https://s.ek.ua/jpg/2405558.jpg,Blackview Tab 16,Корпус:,Акумулятор:
Фото,https://s.ek.ua/jpg/2405558.jpg,Blackview Tab 16,Корпус:,Акумулятор:
Обговорення,https://s.ek.ua/jpg/2405558.jpg,Blackview Tab 16,Корпус:,Акумулятор:
Ціни,https://s.ek.ua/jpg/2405558.jpg,Blackview Tab 16,Корпус:,Акумулятор:
3D,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,256ГБ 5G,256ГБ
Відгуки,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,256ГБ 5G,256ГБ
Відео,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,256ГБ 5G,256ГБ
Фото,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,256ГБ 5G,256ГБ
Обговорення,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,256ГБ 5G,256ГБ
Огляди,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,256ГБ 5G,256ГБ
Ціни,https://s.ek.ua/jpg/2090043.jpg,Apple iPad mini,256ГБ 5G,256ГБ
Відгуки,https://s.ek.ua/jpg/2278334.jpg,Blackview Tab 13,Корпус:,Акумулятор:
Відео,https://s.ek.ua/jpg/2278334.jpg,Blackview Tab 13,Корпус:,Акумулятор:
Фото,https://s.ek.ua/jpg/2278334.jpg,Blackview Tab 13,Корпус:,Акумулятор:
Огляди,https://s.ek.ua/jpg/2278334.jpg,Blackview Tab 13,Корпус:,Акумулятор:
Ціни,https://s.ek.ua/jpg/2278334.jpg,Blackview Tab 13,Корпус:,Акумулятор:
Відгуки,https://s.ek.ua/jpg/2325955.jpg,Lenovo Tab P11 2nd Gen,"128ГБ ОЗУ 6 ГБ, LTE",128ГБ ОЗП 6 ГБ
Відео,https://s.ek.ua/jpg/2325955.jpg,Lenovo Tab P11 2nd Gen,"128ГБ ОЗУ 6 ГБ, LTE",128ГБ ОЗП 6 ГБ
Фото,https://s.ek.ua/jpg/2325955.jpg,Lenovo Tab P11 2nd Gen,"128ГБ ОЗУ 6 ГБ, LTE",128ГБ ОЗП 6 ГБ
Обговорення,https://s.ek.ua/jpg/2325955.jpg,Lenovo Tab P11 2nd Gen,"128ГБ ОЗУ 6 ГБ, LTE",128ГБ ОЗП 6 ГБ
Ціни,https://s.ek.ua/jpg/2325955.jpg,Lenovo Tab P11 2nd Gen,"128ГБ ОЗУ 6 ГБ, LTE",128ГБ ОЗП 6 ГБ
3D,https://s.ek.ua/jpg/2177284.jpg,Samsung Galaxy Tab S8,256ГБ 5G,256ГБ
Відео,https://s.ek.ua/jpg/2177284.jpg,Samsung Galaxy Tab S8,256ГБ 5G,256ГБ
Фото,https://s.ek.ua/jpg/2177284.jpg,Samsung Galaxy Tab S8,256ГБ 5G,256ГБ
Обговорення,https://s.ek.ua/jpg/2177284.jpg,Samsung Galaxy Tab S8,256ГБ 5G,256ГБ
